,dftb_energy,dftb_structure,orca_structure,orca_energy
0,-15.6061333434,structure_00000.xyz,structure_00000.xyz,-1314.06064061
1,-15.6154766701,structure_00071.xyz,structure_00071.xyz,-1314.06747034
2,-15.615521731300001,structure_00001.xyz,structure_00001.xyz,-1314.0675103
3,-15.624462951,structure_00002.xyz,structure_00002.xyz,-1314.07396629
4,-15.6246880929,structure_00072.xyz,structure_00072.xyz,-1314.07425486
5,-15.6329782915,structure_00003.xyz,structure_00003.xyz,-1314.0800375
6,-15.6334526223,structure_00073.xyz,structure_00073.xyz,-1314.08062485
7,-15.6410989829,structure_00004.xyz,structure_00004.xyz,-1314.08575772
8,-15.6417921135,structure_00074.xyz,structure_00074.xyz,-1314.08660957
9,-15.648840189100001,structure_00005.xyz,structure_00005.xyz,-1314.09114845
10,-15.649738030899998,structure_00075.xyz,structure_00075.xyz,-1314.09224302
11,-15.6562260535,structure_00006.xyz,structure_00006.xyz,-1314.09623566
12,-15.6573061141,structure_00076.xyz,structure_00076.xyz,-1314.09754703
13,-15.6632709975,structure_00007.xyz,structure_00007.xyz,-1314.10103667
14,-15.664520821400002,structure_00077.xyz,structure_00077.xyz,-1314.10254779
15,-15.670001109300001,structure_00008.xyz,structure_00008.xyz,-1314.10557422
16,-15.6713971029,structure_00078.xyz,structure_00078.xyz,-1314.10726292
17,-15.676433918399999,structure_00009.xyz,structure_00009.xyz,-1314.10986401
18,-15.677961203499999,structure_00079.xyz,structure_00079.xyz,-1314.11171527
19,-15.6825858494,structure_00010.xyz,structure_00010.xyz,-1314.1139193
20,-15.6842310354,structure_00080.xyz,structure_00080.xyz,-1314.11592075
21,-15.688469910699999,structure_00011.xyz,structure_00011.xyz,-1314.11775002
22,-15.690223375999999,structure_00081.xyz,structure_00081.xyz,-1314.11989277
23,-15.6941132379,structure_00012.xyz,structure_00012.xyz,-1314.12137434
24,-15.695951624300001,structure_00082.xyz,structure_00082.xyz,-1314.12364148
25,-15.699528020699999,structure_00013.xyz,structure_00013.xyz,-1314.12480013
26,-15.701442864,structure_00083.xyz,structure_00083.xyz,-1314.12718502
27,-15.704730030999999,structure_00014.xyz,structure_00014.xyz,-1314.12803717
28,-15.7067095901,structure_00084.xyz,structure_00084.xyz,-1314.13053143
29,-15.709737336199998,structure_00015.xyz,structure_00015.xyz,-1314.13109622
30,-15.7117677524,structure_00085.xyz,structure_00085.xyz,-1314.1336906
31,-15.714566789500001,structure_00016.xyz,structure_00016.xyz,-1314.13398678
32,-15.7166355188,structure_00086.xyz,structure_00086.xyz,-1314.13667335
33,-15.7192362563,structure_00017.xyz,structure_00017.xyz,-1314.13671844
34,-15.7213298364,structure_00087.xyz,structure_00087.xyz,-1314.13948925
35,-15.7237619205,structure_00018.xyz,structure_00018.xyz,-1314.13930007
36,-15.725868613800001,structure_00088.xyz,structure_00088.xyz,-1314.1421479
37,-15.728155986199999,structure_00019.xyz,structure_00019.xyz,-1314.14173828
38,-15.730268091800001,structure_00089.xyz,structure_00089.xyz,-1314.14465822
39,-15.732431175799999,structure_00020.xyz,structure_00020.xyz,-1314.14404037
40,-15.734540533099999,structure_00090.xyz,structure_00090.xyz,-1314.14702688
41,-15.7366017406,structure_00021.xyz,structure_00021.xyz,-1314.14621457
42,-15.7386986142,structure_00091.xyz,structure_00091.xyz,-1314.14926117
43,-15.740674238699999,structure_00022.xyz,structure_00022.xyz,-1314.1482657
44,-15.7427564346,structure_00092.xyz,structure_00092.xyz,-1314.1513693
45,-15.744653879300001,structure_00023.xyz,structure_00023.xyz,-1314.15019849
46,-15.746720534100001,structure_00093.xyz,structure_00093.xyz,-1314.15335609
47,-15.748548160999999,structure_00024.xyz,structure_00024.xyz,-1314.15201957
48,-15.7505961048,structure_00094.xyz,structure_00094.xyz,-1314.15522631
49,-15.752361214,structure_00025.xyz,structure_00025.xyz,-1314.15373438
50,-15.7543905207,structure_00095.xyz,structure_00095.xyz,-1314.15698653
51,-15.7560920346,structure_00026.xyz,structure_00026.xyz,-1314.15534698
52,-15.758107799300001,structure_00096.xyz,structure_00096.xyz,-1314.15864215
53,-15.759740946500001,structure_00027.xyz,structure_00027.xyz,-1314.1568627
54,-15.7617468674,structure_00097.xyz,structure_00097.xyz,-1314.16019724
55,-15.763302158699998,structure_00028.xyz,structure_00028.xyz,-1314.15828527
56,-15.765307881400002,structure_00098.xyz,structure_00098.xyz,-1314.1616571
57,-15.766774163,structure_00029.xyz,structure_00029.xyz,-1314.15962076
58,-15.768784995299999,structure_00099.xyz,structure_00099.xyz,-1314.16302546
59,-15.770148411900001,structure_00030.xyz,structure_00030.xyz,-1314.16087305
60,-15.773414587000001,structure_00031.xyz,structure_00031.xyz,-1314.16204611
61,-15.776558352999999,structure_00032.xyz,structure_00032.xyz,-1314.16314326
62,-15.779570066199998,structure_00033.xyz,structure_00033.xyz,-1314.16416963
63,-15.7824330271,structure_00034.xyz,structure_00034.xyz,-1314.16512811
64,-15.7851343322,structure_00035.xyz,structure_00035.xyz,-1314.16602193
65,-15.78766321,structure_00036.xyz,structure_00036.xyz,-1314.16685386
66,-15.790014211199999,structure_00037.xyz,structure_00037.xyz,-1314.16762798
67,-15.792179657,structure_00038.xyz,structure_00038.xyz,-1314.16834678
68,-15.794155908499999,structure_00039.xyz,structure_00039.xyz,-1314.16901295
69,-15.795940107,structure_00040.xyz,structure_00040.xyz,-1314.16962905
70,-15.797533697,structure_00041.xyz,structure_00041.xyz,-1314.17019816
71,-15.7989386804,structure_00042.xyz,structure_00042.xyz,-1314.17072267
72,-15.8001322607,structure_00070.xyz,structure_00070.xyz,-1314.17464994
73,-15.8001588101,structure_00043.xyz,structure_00043.xyz,-1314.17120502
74,-15.8004627241,structure_00069.xyz,structure_00069.xyz,-1314.17470672
75,-15.8007922857,structure_00068.xyz,structure_00068.xyz,-1314.17475669
76,-15.801119236500002,structure_00067.xyz,structure_00067.xyz,-1314.17479891
77,-15.8012004301,structure_00044.xyz,structure_00044.xyz,-1314.1716475
78,-15.8014419987,structure_00066.xyz,structure_00066.xyz,-1314.1748327
79,-15.801759436700001,structure_00065.xyz,structure_00065.xyz,-1314.17485763
80,-15.8020702165,structure_00064.xyz,structure_00064.xyz,-1314.17487306
81,-15.8020714849,structure_00045.xyz,structure_00045.xyz,-1314.1720523
82,-15.8023722946,structure_00063.xyz,structure_00063.xyz,-1314.174878
83,-15.8026641447,structure_00062.xyz,structure_00062.xyz,-1314.17487196
84,-15.8027823218,structure_00046.xyz,structure_00046.xyz,-1314.17242167
85,-15.8029439817,structure_00061.xyz,structure_00061.xyz,-1314.17485421
86,-15.803209089500001,structure_00060.xyz,structure_00060.xyz,-1314.17482364
87,-15.8033450051,structure_00047.xyz,structure_00047.xyz,-1314.17275769
88,-15.8034582152,structure_00059.xyz,structure_00059.xyz,-1314.17477955
89,-15.8036884308,structure_00058.xyz,structure_00058.xyz,-1314.17472067
90,-15.8037729145,structure_00048.xyz,structure_00048.xyz,-1314.1730618
91,-15.803897626900001,structure_00057.xyz,structure_00057.xyz,-1314.17464622
92,-15.8040818996,structure_00056.xyz,structure_00056.xyz,-1314.17455504
93,-15.804082266400002,structure_00049.xyz,structure_00049.xyz,-1314.17333613
94,-15.8042363175,structure_00055.xyz,structure_00055.xyz,-1314.17444572
95,-15.8042889329,structure_00050.xyz,structure_00050.xyz,-1314.17358241
96,-15.804354475899999,structure_00054.xyz,structure_00054.xyz,-1314.1743170999998
97,-15.804406970799999,structure_00051.xyz,structure_00051.xyz,-1314.17380208
98,-15.804428760699999,structure_00053.xyz,structure_00053.xyz,-1314.17416796
99,-15.804449593,structure_00052.xyz,structure_00052.xyz,-1314.17399675
