,dftb_energy,dftb_structure,orca_energy,orca_structure
7,-15.7501645904,Structures/S1.xyz,-1314.09623566,Structures/S7.xyz
2,-15.7564356231,Structures/S4.xyz,-1314.08575772,Structures/S5.xyz
1,-15.7564361218,Structures/S10.xyz,-1314.10986401,Structures/S10.xyz
9,-15.7564406487,Structures/S8.xyz,-1314.10103667,Structures/S8.xyz
5,-15.7564410114,Structures/S5.xyz,-1314.0800375,Structures/S4.xyz
4,-15.7564410619,Structures/S6.xyz,-1314.09114845,Structures/S6.xyz
6,-15.756441106,Structures/S2.xyz,-1314.0675103,Structures/S2.xyz
0,-15.7564412935,Structures/S9.xyz,-1314.07396629,Structures/S3.xyz
3,-15.7564433135,Structures/S3.xyz,-1314.10557422,Structures/S9.xyz
8,-15.7564446973,Structures/S7.xyz,-1314.06064061,Structures/S1.xyz